source_tool,target_tool,count,workflows,source_tool_id,source_content_id,source_tool_version,source_repo_name,source_repo_owner,source_repo_tool_shed,source_repo_changeset_revision,target_tool_id,target_content_id,target_tool_version,target_repo_name,target_repo_owner,target_repo_tool_shed,target_repo_changeset_revision
"Filter SAM or BAM, output SAM or BAM",MergeSamFiles,4,"Genomics-1-PreProcessing_with_download,Genomics-1-PreProcessing_without_downloading_from_SRA",toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8|toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8+galaxy1,toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8|toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8+galaxy1,1.8|1.8+galaxy1,samtool_filter2,devteam,toolshed.g2.bx.psu.edu,56c31114ad4a|649a225999a5,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.18.2.1,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.18.2.1,2.18.2.1,picard,devteam,toolshed.g2.bx.psu.edu,6f9c0884a3e7|a1f0b3f4b781
MergeSamFiles,Samtools fastx,4,"Genomics-1-PreProcessing_with_download,Genomics-1-PreProcessing_without_downloading_from_SRA",toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.18.2.1,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.18.2.1,2.18.2.1,picard,devteam,toolshed.g2.bx.psu.edu,6f9c0884a3e7|a1f0b3f4b781,toolshed.g2.bx.psu.edu/repos/iuc/samtools_fastx/samtools_fastx/1.9+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/samtools_fastx/samtools_fastx/1.9+galaxy1,1.9+galaxy1,samtools_fastx,iuc,toolshed.g2.bx.psu.edu,a8d69aee190e
fastp,MultiQC,4,"Genomics-1-PreProcessing_with_download,Genomics-1-PreProcessing_without_downloading_from_SRA,Genomics-4-PE_Variation,Genomics-4-SE_Variation",toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.3.3|toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.5+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.3.3|toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.5+galaxy1,0.19.3.3|0.19.5+galaxy1,fastp,iuc,toolshed.g2.bx.psu.edu,1d8fe9bc4cb0|a935cbdf1c0e,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7|toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7.1,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7|toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7.1,1.7|1.7.1,multiqc,iuc,toolshed.g2.bx.psu.edu,3d93dd18d9f8|b2f1f75d49c4
Map with BWA-MEM,"Filter SAM or BAM, output SAM or BAM",3,"Genomics-1-PreProcessing_with_download,Genomics-1-PreProcessing_without_downloading_from_SRA,Genomics-4-PE_Variation",toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,bwa,devteam,toolshed.g2.bx.psu.edu,01ac0a5fedc3,toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8|toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8+galaxy1,toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8|toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8+galaxy1,1.8|1.8+galaxy1,samtool_filter2,devteam,toolshed.g2.bx.psu.edu,56c31114ad4a|649a225999a5
fastp,Map with BWA-MEM,3,"Genomics-1-PreProcessing_with_download,Genomics-1-PreProcessing_without_downloading_from_SRA,Genomics-4-PE_Variation",toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.3.3|toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.5+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.3.3|toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.5+galaxy1,0.19.3.3|0.19.5+galaxy1,fastp,iuc,toolshed.g2.bx.psu.edu,1d8fe9bc4cb0|a935cbdf1c0e,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,bwa,devteam,toolshed.g2.bx.psu.edu,01ac0a5fedc3
Call variants,SnpEff eff:,2,"Genomics-4-PE_Variation,Genomics-4-SE_Variation",toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy0|toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy0|toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy1,2.1.3.1+galaxy0|2.1.3.1+galaxy1,lofreq_call,iuc,toolshed.g2.bx.psu.edu,03627f24605f|dfadc322b065,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.3+T.galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.3+T.galaxy1,4.3+T.galaxy1,snpeff,iuc,toolshed.g2.bx.psu.edu,74aebe30fb52
FastQC,MultiQC,2,"Genomics-1-PreProcessing_with_download,Genomics-1-PreProcessing_without_downloading_from_SRA",toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.72|toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.72+galaxy1,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.72|toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.72+galaxy1,0.72|0.72+galaxy1,fastqc,devteam,toolshed.g2.bx.psu.edu,3e1cdf5406db|e7b2202befea,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7|toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7.1,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7|toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7.1,1.7|1.7.1,multiqc,iuc,toolshed.g2.bx.psu.edu,3d93dd18d9f8|b2f1f75d49c4
MAFFT,tranalign,2,"Genomics-5-S-analysis,Genomics-6-RecombinationSelection",toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,mafft,rnateam,toolshed.g2.bx.psu.edu,c5908940967d,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tranalign100/5.0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: tranalign100/5.0.0,5.0.0,emboss_5,devteam,toolshed.g2.bx.psu.edu,dba489bfcd62
Map with minimap2,"Filter SAM or BAM, output SAM or BAM",2,"Genomics-1-PreProcessing_with_download,Genomics-1-PreProcessing_without_downloading_from_SRA",toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.12|toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy0,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.12|toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy0,2.12|2.17+galaxy0,minimap2,iuc,toolshed.g2.bx.psu.edu,17e61517c166|b3eab4b67562,toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8|toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8+galaxy1,toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8|toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8+galaxy1,1.8|1.8+galaxy1,samtool_filter2,devteam,toolshed.g2.bx.psu.edu,56c31114ad4a|649a225999a5
MarkDuplicates,MultiQC,2,"Genomics-4-PE_Variation,Genomics-4-SE_Variation",toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/2.18.2.2,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/2.18.2.2,2.18.2.2,picard,devteam,toolshed.g2.bx.psu.edu,a1f0b3f4b781,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7|toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7.1,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7|toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7.1,1.7|1.7.1,multiqc,iuc,toolshed.g2.bx.psu.edu,3d93dd18d9f8|b2f1f75d49c4
MarkDuplicates,Realign reads,2,"Genomics-4-PE_Variation,Genomics-4-SE_Variation",toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/2.18.2.2,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/2.18.2.2,2.18.2.2,picard,devteam,toolshed.g2.bx.psu.edu,a1f0b3f4b781,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi/2.1.3.1+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi/2.1.3.1+galaxy1,2.1.3.1+galaxy1,lofreq_viterbi,iuc,toolshed.g2.bx.psu.edu,cdaab621d454
Realign reads,Call variants,2,"Genomics-4-PE_Variation,Genomics-4-SE_Variation",toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi/2.1.3.1+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi/2.1.3.1+galaxy1,2.1.3.1+galaxy1,lofreq_viterbi,iuc,toolshed.g2.bx.psu.edu,cdaab621d454,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy0|toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy0|toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy1,2.1.3.1+galaxy0|2.1.3.1+galaxy1,lofreq_call,iuc,toolshed.g2.bx.psu.edu,03627f24605f|dfadc322b065
SnpEff build:,Call variants,2,"Genomics-4-PE_Variation,Genomics-4-SE_Variation",toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_build_gb/4.3+T.galaxy4,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_build_gb/4.3+T.galaxy4,4.3+T.galaxy4,snpeff,iuc,toolshed.g2.bx.psu.edu,74aebe30fb52,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy0|toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy0|toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy1,2.1.3.1+galaxy0|2.1.3.1+galaxy1,lofreq_call,iuc,toolshed.g2.bx.psu.edu,03627f24605f|dfadc322b065
SnpEff build:,Realign reads,2,"Genomics-4-PE_Variation,Genomics-4-SE_Variation",toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_build_gb/4.3+T.galaxy4,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_build_gb/4.3+T.galaxy4,4.3+T.galaxy4,snpeff,iuc,toolshed.g2.bx.psu.edu,74aebe30fb52,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi/2.1.3.1+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi/2.1.3.1+galaxy1,2.1.3.1+galaxy1,lofreq_viterbi,iuc,toolshed.g2.bx.psu.edu,cdaab621d454
SnpEff build:,SnpEff eff:,2,"Genomics-4-PE_Variation,Genomics-4-SE_Variation",toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_build_gb/4.3+T.galaxy4,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_build_gb/4.3+T.galaxy4,4.3+T.galaxy4,snpeff,iuc,toolshed.g2.bx.psu.edu,74aebe30fb52,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.3+T.galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.3+T.galaxy1,4.3+T.galaxy1,snpeff,iuc,toolshed.g2.bx.psu.edu,74aebe30fb52
SnpEff eff:,SnpSift Extract Fields,2,"Genomics-4-PE_Variation,Genomics-4-SE_Variation",toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.3+T.galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.3+T.galaxy1,4.3+T.galaxy1,snpeff,iuc,toolshed.g2.bx.psu.edu,74aebe30fb52,toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields/4.3+t.galaxy0,toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields/4.3+t.galaxy0,4.3+t.galaxy0,snpsift,iuc,toolshed.g2.bx.psu.edu,2b3e65a4252f
SnpSift Extract Fields,Collapse Collection,2,"Genomics-4-PE_Variation,Genomics-4-SE_Variation",toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields/4.3+t.galaxy0,toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields/4.3+t.galaxy0,4.3+t.galaxy0,snpsift,iuc,toolshed.g2.bx.psu.edu,2b3e65a4252f,toolshed.g2.bx.psu.edu/repos/nml/collapse_collections/collapse_dataset/4.1,toolshed.g2.bx.psu.edu/repos/nml/collapse_collections/collapse_dataset/4.1,4.1,collapse_collections,nml,toolshed.g2.bx.psu.edu,33151a38533a
transeq,MAFFT,2,"Genomics-5-S-analysis,Genomics-6-RecombinationSelection",toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,emboss_5,devteam,toolshed.g2.bx.psu.edu,dba489bfcd62,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,mafft,rnateam,toolshed.g2.bx.psu.edu,c5908940967d
Bowtie2,MarkDuplicates,1,Genomics-4-SE_Variation,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.4.3+galaxy0,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.4.3+galaxy0,2.3.4.3+galaxy0,bowtie2,devteam,toolshed.g2.bx.psu.edu,749c918495f7,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/2.18.2.2,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/2.18.2.2,2.18.2.2,picard,devteam,toolshed.g2.bx.psu.edu,a1f0b3f4b781
